uid,Label,total_count
261779,E2,3
261779,E3,2
262277,C2,1
262277,C6,1
263244,C6,1
264003,CBD,1
264892,C8,1
264892,CBD,1
264892,E2,1
265488,CBD,1
265788,E2,1
266728,C5,1
266728,C8,1
266805,C5,1
266805,NE2,1
266843,C5,2
266895,CBD,2
266917,C5,1
266939,E4,1
267365,CBD,1
267819,C4,1
267819,CBD,1
268068,C1,1
268068,C7,1
268109,C1,1
269093,C5,2
269093,CBD,1
270339,C1,1
271024,C8,1
271024,E3,2
271092,E4,1
271218,C3,3
271218,C4,3
271218,C5,2
271218,C7,2
271682,CBD,1
271682,W2,2
272167,C6,1
272167,C7,1
273121,C6,1
273129,C6,1
273129,E4,1
273242,C4,1
273242,CBD,1
273413,N1,1
273551,C3,1
273551,C8,1
273551,E3,1
273551,NE2,2
273677,C1,1
273677,C8,1
273740,C5,1
273740,C6,1
273740,CBD,1
273740,E3,1
273740,E4,1
273849,C6,1
273849,CBD,2
273849,NE2,1
273911,C1,22
273911,C4,1
273911,C5,1
273911,C8,1
273911,CBD,3
273911,E2,1
273911,NE3,2
274395,C8,1
274395,E2,1
274395,E4,1
274634,CBD,1
274634,E3,1
274634,N1,1
274634,NE3,3
274822,CBD,1
274826,C5,2
274869,C3,1
275875,C4,1
275875,C7,1
275875,W2,3
276652,C5,2
276652,C8,1
276652,CBD,1
278241,W2,1
278305,C3,1
278305,C7,1
278313,C6,1
278370,C6,1
278370,CBD,1
278370,NE3,1
278649,C6,1
278649,W2,1
278937,E4,1
278978,C6,1
279553,C5,1
279800,C1,1
279800,C4,2
279800,C5,1
279800,C6,1
279800,C7,3
279800,C8,6
279800,E1,2
279800,E3,3
279800,E4,3
279800,NE2,1
279800,NE3,1
279800,W2,2
280316,E1,2
280316,NE2,1
280443,C6,1
280443,CBD,1
280443,E1,4
280443,E4,2
280443,NE2,1
280501,C5,2
280501,E3,1
280532,C5,1
280538,CBD,1
280559,C3,2
280559,C6,1
280559,C8,4
